C858  D0 09     BNE $C863                       A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C85A  30 07     BMI $C863                       A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C85C  50 05     BVC $C863                       A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C85E  B0 03     BCS $C863                       A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C860  4C 67 C8  JMP $C867                       A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C867  EA        NOP                             A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C868  A9 00     LDA #$00                        A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C86A  85 01     STA $01 = 00                    A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C86C  24 01     BIT $01 = 00                    A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C86E  38        SEC                             A:00 X:00 Y:00 P:2E SP:FB PPU:  0, 00 CYC:0
C86F  A9 FF     LDA #$FF                        A:00 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C871  48        PHA                             A:FF X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C872  A9 00     LDA #$00                        A:FF X:00 Y:00 P:AD SP:FA PPU:  0, 00 CYC:0
C874  68        PLA                             A:00 X:00 Y:00 P:2F SP:FA PPU:  0, 00 CYC:0
C875  F0 09     BEQ $C880                       A:FF X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C877  10 07     BPL $C880                       A:FF X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C879  70 05     BVS $C880                       A:FF X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C87B  90 03     BCC $C880                       A:FF X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C87D  4C 84 C8  JMP $C884                       A:FF X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C884  60        RTS                             A:FF X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C603  20 85 C8  JSR $C885                       A:FF X:00 Y:00 P:AD SP:FD PPU:  0, 00 CYC:0
C885  EA        NOP                             A:FF X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C886  18        CLC                             A:FF X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C887  A9 FF     LDA #$FF                        A:FF X:00 Y:00 P:AC SP:FB PPU:  0, 00 CYC:0
C889  85 01     STA $01 = 00                    A:FF X:00 Y:00 P:AC SP:FB PPU:  0, 00 CYC:0
C88B  24 01     BIT $01 = 00                    A:FF X:00 Y:00 P:AC SP:FB PPU:  0, 00 CYC:0
